image,prompt,edit_image
hr_image/image_0.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_0.jpg
hr_image/image_6.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_6.jpg
hr_image/image_16.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_16.jpg
hr_image/image_23.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_23.jpg
hr_image/image_8.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_8.jpg
hr_image/image_1.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_1.jpg
hr_image/image_12.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_12.jpg
hr_image/image_18.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_18.jpg
hr_image/image_5.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_5.jpg
hr_image/image_21.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_21.jpg
hr_image/image_4.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_4.jpg
hr_image/image_13.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_13.jpg
hr_image/image_11.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_11.jpg
hr_image/image_14.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_14.jpg
hr_image/image_3.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_3.jpg
hr_image/image_17.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_17.jpg
hr_image/image_15.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_15.jpg
hr_image/image_9.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_9.jpg
hr_image/image_25.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_25.jpg
hr_image/image_27.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_27.jpg
hr_image/image_20.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_20.jpg
hr_image/image_31.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_31.jpg
hr_image/image_7.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_7.jpg
hr_image/image_24.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_24.jpg
hr_image/image_26.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_26.jpg
hr_image/image_30.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_30.jpg
hr_image/image_28.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_28.jpg
hr_image/image_19.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_19.jpg
hr_image/image_34.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_34.jpg
hr_image/image_35.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_35.jpg
hr_image/image_22.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_22.jpg
hr_image/image_40.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_40.jpg
hr_image/image_37.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_37.jpg
hr_image/image_29.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text within the image should be clear, accurate, and unchanged.",lr_image/image_29.jpg
