image,prompt,edit_image
hr_image/image_0.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “cs occurring in t he 1830s an d 1860s, r esulting in high fatalities and so cial disruptio n.The Ale utian Islan ds are still h ome to th” within the image should remain clear, accurate, and unchanged.",lr_image/image_0.jpg
hr_image/image_6.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “agreement s with foreign c ountries, and t o resolve disp utes between the states. The document also stip ulates that its provisions .Sum mary of the purpose and conte nt of each of the 13 articles:Congress under t” within the image should remain clear, accurate, and unchanged.",lr_image/image_6.jpg
hr_image/image_16.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “who had initially accepted ""Animal Farm"", subseq uently rejected the book afte r an official at the British M inistry of Informati on warned him off – althou gh the civil ser” within the image should remain clear, accurate, and unchanged.",lr_image/image_16.jpg
hr_image/image_23.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “lowed to enter a plea.In Ne w York, most peo ple arrested m ust be released if t hey are not arraigned within 24 hours.In Califor nia, arraignments must be conducted without u” within the image should remain clear, accurate, and unchanged.",lr_image/image_23.jpg
hr_image/image_8.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “uffs, cotton g oods, hardware, and British coal. L egislation against f oreign trader s was implemented in the 1890s. T he territory's pros perity, however, continued to depend on plant ations worked by labor ""indentured"" from the” within the image should remain clear, accurate, and unchanged.",lr_image/image_8.jpg
hr_image/image_1.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “.Andorra is famous for the pr actice of winter spo rts. Andorra has the largest territor y of ski slope s in the Pyren ees and two ski resor ts. Grandvalira is t” within the image should remain clear, accurate, and unchanged.",lr_image/image_1.jpg
hr_image/image_12.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “f ""images"" i s needed one mem ory will stimulate the next. When people re call experienc es they stimula te certain previous experiences until they reach the on e that is needed. Rec” within the image should remain clear, accurate, and unchanged.",lr_image/image_12.jpg
hr_image/image_18.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “ons escalated furt her in March 177 0 when British tr oops fired on roc k-throwin g civilians killing five in w hat became known as the Boston Massacre. The Massacre coinci ded with the partial re peal of the Townshend Acts b” within the image should remain clear, accurate, and unchanged.",lr_image/image_18.jpg
hr_image/image_5.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “te and natural hazards.By the Kppen climate cl assification, Aruba has a hot semi -arid climate . Rainfall is scarce, only 300 millimeters per year; in parti cular, rainy season is drier tha n it normally is in tropical climates; during the dry season , it almost never rains. Owing to the sc arcity of rainfall, the landsc ape of Aruba is arid. Mean monthly temper ature in Oranjestad varies littl e from to , moderated by constant trade wind s from the Atlantic Ocean, w hich come from t” within the image should remain clear, accurate, and unchanged.",lr_image/image_5.jpg
hr_image/image_21.jpg,"Restore and enhance the low-quality input image to generate a high-resolution, high-quality version. The text “nce, thus helping to curb friv olous appeals.In some cases a n application for district cou rt for an offense le sser included in the one ch arged constitutes an a cquittal of the greater off ensepermitting trial de novo in the ci rcuit court only for the lesser-included offense. ""In an appeal on the record fro m a decision in a judicial procee ding both ap” within the image should remain clear, accurate, and unchanged.",lr_image/image_21.jpg
